State,District,Sowing_Season,Irrigation_Status,Recommended_Varieties
Uttar Pradesh,Pilibhit,Early Kharif,Rainfed,Pusa Basmati 1121; Pratiksha; Indira Barani 1
West Bengal,Hooghly,Rabi,Irrigated,Badshabhog; CSR 36; CSR 43
Uttar Pradesh,Ghazipur,Main Kharif,Irrigated,Taraori Basmati; Swarna (MTU-7029); Pusa 44
Andhra Pradesh,Vizianagaram,Rabi,Rainfed,Hamilton; MTU-1061; Vandana
Odisha,Sambalpur,Late Kharif,Rainfed,Khandagiri; Sahbhagi Dhan; SR 26B
Karnataka,Dakshina Kannada,Kharif,Irrigated,Samba Mahsuri (BPT-5204); Jeerige Sanna
Punjab,Mansa,Kharif,Irrigated,PAU 201; PR 131; PR 130
Odisha,Koraput,Kharif,Irrigated,Swarna-Sub1; Samba Mahsuri-Sub1; Hamilton; HKR 47
West Bengal,Purulia,Early Rabi,Rainfed,Pusa 1121; Vandana
West Bengal,Purulia,Summer,Irrigated,CSR 30; Ratna
Bihar,Bhagalpur,Rabi,Irrigated,MTU-1010; Improved Sabarmati
Odisha,Nuapada,Summer (Hot Weather),Irrigated,Ciherang-Sub1; Ratna; Swarna-Sub1
Andhra Pradesh,Nellore,Summer (Hot Weather),Limited Irrigation,Ratna; IR 64; CSR 43
Jharkhand,Hazaribagh,Main Kharif,Irrigated,MTU-1121; PR 126; JGL 384
Haryana,All,Kharif,Limited Irrigation,Anjali; CR Dhan 40; Lalat
Andhra Pradesh,Chittoor,Late Kharif,Limited Irrigation,MCM-100; Naveen; CSR 43
Jharkhand,Gumla,Kharif,Limited Irrigation,Udaya; Gayatri; Swarna-Sub1; Pratiksha
Odisha,Mayurbhanja,Kharif,Rainfed,Khandagiri; Mahanandi; Ranjit; Lalat
Uttar Pradesh,Gorakhpur,Summer (Hot Weather),Limited Irrigation,Ratna; IR 64; Rasi
Karnataka,Raichur,Main Kharif,Limited Irrigation,Mahanandi; Jeerige Sanna
Assam,Cachar,Main Kharif,Irrigated,Swarna-Sub1; Rasi
Haryana,Panipat,Early Kharif,Limited Irrigation,Gayatri; Konark; Pratiksha
West Bengal,Darjeeling,Early Kharif,Rainfed,Naveen; Mahanandi
Punjab,Tarn Taran,Main Kharif,Irrigated,RNR 15048; PR 126; MTU-1010
Uttar Pradesh,Varanasi,Summer,Limited Irrigation,Pusa Basmati 1121; Satabdi
Assam,Kamrup,Late Kharif,Irrigated,Samba Mahsuri-Sub1; Joha Rice
Tamil Nadu,Ramanathapuram,Main Rabi,Limited Irrigation,MCM-100; GR 11; CSR 30
Chhattisgarh,Dhamtari,Main Rabi,Limited Irrigation,MTU-1010; Satabdi; Ratna
Jharkhand,Deoghar,Kharif,Irrigated,Samba Mahsuri (BPT-5204); PR 128
Assam,Tinsukia,Late Kharif,Rainfed,Lalat; Joha Rice; Indira
Assam,Dibrugarh,Summer,Limited Irrigation,Kola Joha; CR Dhan 801
Jharkhand,Lohardaga,Rabi,Irrigated,Jaya; IR 64; Pusa 1121
Jharkhand,Gumla,Rabi,Irrigated,MTU-1010; CSR 30; Improved Sabarmati; Swarna
West Bengal,Uttar Dinajpur,Kharif,Rainfed,Gayatri; Nagina 22; Gobindobhog
Andhra Pradesh,Visakhapatnam,Early Rabi,Rainfed,CSR 30; Swarna
West Bengal,Nadia,Rabi,Irrigated,Badshabhog; Pusa 1509; Improved Sabarmati
Chhattisgarh,Kanker,Early Kharif,Rainfed,Pooja; Udaya
Andhra Pradesh,West Godavari,Rabi,Limited Irrigation,MTU-1010; Hamilton
Haryana,Yamunanagar,Kharif,Rainfed,Sahbhagi Dhan; CR Dhan 40; Ranjit
Tamil Nadu,Thoothukudi,Late Kharif,Irrigated,MTU-1121; Sumati
Punjab,Jalandhar,Early Kharif,Irrigated,PR 128; Mahsuri; MTU-1010
Bihar,Begusarai,Summer,Irrigated,CR Dhan 801; Jaya
Bihar,Muzaffarpur,Summer,Limited Irrigation,Ratna; Jaya
Haryana,Panipat,Rabi,Irrigated,GR 11; CSR 30
Bihar,Begusarai,Kharif,Rainfed,Vandana; Lalat
Assam,Jorhat,Rabi,Limited Irrigation,Pusa 1509; Satabdi; Ciherang-Sub1
Karnataka,Dakshina Kannada,Summer (Hot Weather),Limited Irrigation,IR 64; Jeerige Sanna
Bihar,Darbhanga,Early Kharif,Irrigated,Pusa 44; Samba Mahsuri (BPT-5204)
Andhra Pradesh,West Godavari,Main Rabi,Irrigated,GR 11; MTU-1010
Odisha,Jagatsinghpur,Early Kharif,Irrigated,Samba Mahsuri (BPT-5204); Hamilton; PAU 201
Odisha,Cuttack,Kharif,Irrigated,Pusa 44; RNR 15048
Karnataka,Raichur,Main Rabi,Rainfed,CSR 30; GR 11; MTU-1010
Assam,Kokrajhar,Kharif,Limited Irrigation,Naveen; Joha Rice
Tamil Nadu,Thanjavur,Early Kharif,Limited Irrigation,Pooja; MTU-1061
Tamil Nadu,Tirunelveli,Summer,Irrigated,Jaya; Lunishree; Improved Sabarmati
Bihar,Bhagalpur,Summer,Irrigated,Ciherang-Sub1; Khitish; Boro varieties; CSR 30
West Bengal,North 24 Parganas,Early Kharif,Irrigated,Vijetha; MTU-1318
Andhra Pradesh,Guntur,Early Kharif,Limited Irrigation,Anjali; Annada
Punjab,SBS Nagar,Main Kharif,Rainfed,Pooja; Gayatri; Khandagiri
Chhattisgarh,Raipur,Kharif,Rainfed,Khandagiri; Ranjit
Uttar Pradesh,Varanasi,Summer (Hot Weather),Irrigated,Taraori Basmati; Ratna
Jharkhand,Deoghar,Early Kharif,Rainfed,Anjali; Khandagiri; Indira Barani 1
Karnataka,Mysore,Early Kharif,Irrigated,HKR 47; PR 130
Haryana,Panipat,Rabi,Irrigated,GR 11; Khitish; CSR 30; Swarna
Uttar Pradesh,Bareilly,Summer (Hot Weather),Limited Irrigation,Adamchini; CSR 30; Rasi
Haryana,Panipat,Main Rabi,Limited Irrigation,Rasi; Swarna; GR 11
Tamil Nadu,Pudukkottai,Kharif,Rainfed,Konark; Ranjit; CSR 36; Lalat
Uttar Pradesh,Kheri,Main Kharif,Irrigated,MTU-1318; RNR 15048; MTU-1010
Karnataka,Uttar Kannada,Summer (Hot Weather),Irrigated,Improved Sabarmati; IR 64; Jeerige Sanna
Assam,Sibsagar,Early Kharif,Rainfed,Konark; Bora Rice
Andhra Pradesh,Guntur,Early Kharif,Irrigated,MTU-1318; Lunishree; RNR 15048
Chhattisgarh,Kanker,Summer,Irrigated,Jeeraphool; Vishnu Bhog
Punjab,Faridkot,Early Rabi,Limited Irrigation,Pusa 1509; Improved Sabarmati; Rasi
Tamil Nadu,Thanjavur,Summer (Hot Weather),Limited Irrigation,CSR 27; Khitish
Odisha,Jagatsinghpur,Summer,Irrigated,Samba Mahsuri-Sub1; Jaya; CSR 36
Jharkhand,Hazaribagh,Kharif,Irrigated,PR 130; HKR 47
Punjab,Sangrur,Summer (Hot Weather),Limited Irrigation,Improved Sabarmati; Khitish
Punjab,Sangrur,Summer (Hot Weather),Limited Irrigation,Jaya; Improved Sabarmati; Pusa Basmati 1121
Uttar Pradesh,Amethi,Rabi,Irrigated,Adamchini; GR 11; Pusa 1509; Satabdi
Punjab,Bathinda,Summer (Hot Weather),Irrigated,Punjab Basmati 7; CSR 30; Boro varieties
Uttar Pradesh,Faizabad,Kharif,Irrigated,BPT-2231; MTU-1121; Pusa 44
Chhattisgarh,Jashpur,Early Kharif,Rainfed,Dubraj; Indira Barani 1
Tamil Nadu,Kanyakumari,Rabi,Limited Irrigation,CSR 36; Ratna
Jharkhand,Lohardaga,Main Kharif,Irrigated,PR 130; PR 121; PR 128
West Bengal,Birbhum,Late Kharif,Rainfed,Gobindobhog; Indira Barani 1; CSR 27
Karnataka,Shimoga,Summer,Irrigated,Jaya; Mysore Mallige
Uttar Pradesh,Amethi,Kharif,Irrigated,JGL 384; IR 64
Haryana,Kaithal,Summer,Limited Irrigation,Improved Sabarmati; Jaya; IR 64; Khitish
Chhattisgarh,Bastar,Rabi,Limited Irrigation,CSR 30; Jaya
Andhra Pradesh,Chittoor,Rabi,Irrigated,Hamilton; Rasi
Haryana,Yamunanagar,Kharif,Limited Irrigation,Pratiksha; Konark
Odisha,Bolangir,Main Kharif,Limited Irrigation,Swarna-Sub1; IR64-Sub1
Odisha,Cuttack,Early Rabi,Irrigated,MTU-1061; Ciherang-Sub1
West Bengal,Murshidabad,Main Rabi,Irrigated,IR 64; SR 26B
Assam,Dibrugarh,Kharif,Rainfed,Naveen; Gayatri; Annada
West Bengal,Purulia,Main Rabi,Rainfed,Rasi; Birsa Vikas Dhan 109; Saket 4
Punjab,Gurdaspur,Late Kharif,Irrigated,Samba Mahsuri (BPT-5204); Vijetha; Sumati
Punjab,North-Western Plains - Regional,Rabi,Limited Irrigation,Khitish; Rasi; Pusa 1121; Satabdi
Assam,Goalpara,Kharif,Irrigated,Ciherang-Sub1; Sumati; Joha Rice; Vijetha
West Bengal,Purba Medinipur,Late Kharif,Irrigated,CSR 36; Mahsuri; Sumati
Tamil Nadu,Kanyakumari,Early Rabi,Limited Irrigation,Satabdi; CSR 27
Chhattisgarh,Raigarh,Main Rabi,Irrigated,Dubraj; Pusa 1121; Jeeraphool
Odisha,Puri,Main Kharif,Limited Irrigation,CSR 27; Khandagiri
Punjab,Fazilka,Main Kharif,Limited Irrigation,CR Dhan 40; Pratiksha; Naveen
Punjab,Sangrur,Summer,Limited Irrigation,Satabdi; Taraori Basmati
Chhattisgarh,Surguja,Main Kharif,Limited Irrigation,Jeeraphool; Mahanandi
Karnataka,Dakshina Kannada,Summer (Hot Weather),Irrigated,Improved Sabarmati; Ratna
West Bengal,Hooghly,Main Kharif,Irrigated,CSR 27; PR 131
Punjab,Pathankot,Early Kharif,Irrigated,PR 130; Pusa Basmati 1121
Uttar Pradesh,Sant Ravidas Nagar,Early Rabi,Limited Irrigation,Swarna; IR 64
Andhra Pradesh,Anantapur,Main Rabi,Irrigated,Improved Sabarmati; Swarna
Uttar Pradesh,Sultanpur,Early Kharif,Rainfed,Mahanandi; Birsa Vikas Dhan 109; Indira
Andhra Pradesh,Kadapa,Summer (Hot Weather),Irrigated,CSR 36; MCM-100; Rasi
Odisha,Bargarh,Main Kharif,Rainfed,Surendra; Nagina 22; Annada
Odisha,Balasore,Kharif,Irrigated,CSR 27; Lunishree
Assam,Darrang,Early Rabi,Limited Irrigation,MTU-1010; IR 64
Bihar,Gaya,Kharif,Limited Irrigation,Annada; Pratiksha; Udaya
Karnataka,Tumkur,Rabi,Limited Irrigation,Rasi; Mysore Mallige
Punjab,Muktsar,Main Kharif,Rainfed,Mahanandi; Gayatri
Andhra Pradesh,Nellore,Early Kharif,Irrigated,IR 64; Rasi; MTU-1262
Karnataka,Raichur,Main Rabi,Irrigated,Ratna; MTU-1010; CSR 30
Bihar,Paschim Champaran,Rabi,Irrigated,IR 64; Jaya; Ciherang-Sub1
Uttar Pradesh,Ghazipur,Late Kharif,Limited Irrigation,Naveen; Pooja; Swarna-Sub1
Tamil Nadu,Salem,Summer (Hot Weather),Irrigated,CSR 27; CSR 36
Tamil Nadu,Erode,Late Kharif,Irrigated,CSR 43; Rasi
Uttar Pradesh,Pratapgarh,Summer,Limited Irrigation,Khitish; Pusa Basmati 1121; Kala Namak
Tamil Nadu,Ramanathapuram,Late Kharif,Rainfed,Konark; Lunishree
Chhattisgarh,Kanker,Late Kharif,Rainfed,Vandana; Ranjit
Punjab,Ferozepur,Rabi,Limited Irrigation,Taraori Basmati; Rasi
Jharkhand,Deoghar,Kharif,Limited Irrigation,Pratiksha; Indira; Ranjit; Mahanandi
Bihar,Gopalganj,Late Kharif,Irrigated,CR Dhan 801; IR 64; Vijetha
Andhra Pradesh,West Godavari,Summer,Limited Irrigation,Jaya; Improved Sabarmati
West Bengal,Alipurduar,Main Kharif,Limited Irrigation,Gobindobhog; Gayatri
Punjab,Amritsar,Main Kharif,Rainfed,Mahanandi; Khandagiri; Sahbhagi Dhan
Andhra Pradesh,West Godavari,Summer (Hot Weather),Irrigated,Lunishree; Rasi; CSR 27
Andhra Pradesh,Anantapur,Main Rabi,Limited Irrigation,Lunishree; Pusa 1121; Ratna
Bihar,Paschim Champaran,Kharif,Rainfed,Vandana; Virendra
Tamil Nadu,Cuddalore,Late Kharif,Rainfed,Pooja; Anjali; Sahbhagi Dhan
Bihar,Gaya,Rabi,Limited Irrigation,IR64-Sub1; Khitish
West Bengal,Malda,Rabi,Rainfed,CSR 43; Birsa Vikas Dhan 110; Tulaipanji; CSR 27
Odisha,Ganjam,Summer,Limited Irrigation,IR 64; MTU-1061; Boro varieties
Punjab,SBS Nagar,Main Kharif,Irrigated,JGL 1798; Pusa 44
Andhra Pradesh,Vizianagaram,Kharif,Rainfed,CSR 27; Khandagiri
Punjab,Fatehgarh Sahib,Late Kharif,Rainfed,CR Dhan 40; Indira
Karnataka,Uttar Kannada,Rabi,Rainfed,Mysore Mallige; MTU-1010
Chhattisgarh,Raigarh,Rabi,Irrigated,Swarna; GR 11
Bihar,Khagaria,Rabi,Irrigated,Swarna; IR64-Sub1
Andhra Pradesh,Kurnool,Rabi,Irrigated,GR 11; Hamilton
Uttar Pradesh,Amethi,Kharif,Rainfed,Gayatri; Pusa Basmati 1121
West Bengal,Malda,Late Kharif,Rainfed,Lunishree; Birsa Vikas Dhan 110
Tamil Nadu,Salem,Early Rabi,Rainfed,Nagina 22; Jaya
Punjab,Malerkotla,Early Kharif,Rainfed,Vandana; Annada; Pusa Basmati 1121
Bihar,Gaya,Early Rabi,Limited Irrigation,MTU-1010; IR64-Sub1; Swarna
Bihar,Gaya,Kharif,Rainfed,CR Dhan 40; Vandana
Haryana,Sirsa,Summer,Limited Irrigation,Improved Sabarmati; Satabdi
Tamil Nadu,Thoothukudi,Summer,Irrigated,IR 64; Satabdi
Chhattisgarh,Janjgir-Champa,Early Rabi,Irrigated,Jaya; Ratna
Haryana,Hisar,Kharif,Irrigated,MTU-1318; MTU-1262; MTU-1010
Haryana,Hisar,Rabi,Irrigated,GR 11; Pusa 1121; IR 64
Assam,Dibrugarh,Early Kharif,Irrigated,RNR 15048; PR 131
Bihar,Aurangabad,Summer,Irrigated,IR64-Sub1; Khitish; IR 64
Karnataka,Gadag,Early Kharif,Irrigated,PR 131; JGL 384
Odisha,Sambalpur,Rabi,Limited Irrigation,CSR 43; Pusa 1121
Tamil Nadu,Coimbatore,Main Rabi,Limited Irrigation,MCM-100; Improved Sabarmati; Satabdi
Tamil Nadu,Thoothukudi,Rabi,Limited Irrigation,GR 11; Khitish
West Bengal,Darjeeling,Summer,Irrigated,CSR 36; Radhunipagal
Uttar Pradesh,All,Rabi,Irrigated,Satabdi; Jaya; Adamchini
Punjab,SAS Nagar,Late Kharif,Irrigated,Mahsuri; MTU-1262; MTU-1121
Chhattisgarh,Raigarh,Summer (Hot Weather),Limited Irrigation,IR 64; Vishnu Bhog
Jharkhand,Bokaro,Main Rabi,Limited Irrigation,MTU-1010; Improved Sabarmati
Tamil Nadu,Thoothukudi,Kharif,Irrigated,CSR 43; PR 128; Pusa 44
Haryana,Karnal,Kharif,Limited Irrigation,Vandana; Pooja
West Bengal,Cooch Behar,Early Kharif,Irrigated,Mahsuri; MTU-1010
Odisha,Mayurbhanja,Summer,Limited Irrigation,Lunishree; Samba Mahsuri-Sub1; Swarna-Sub1
Punjab,Fazilka,Late Kharif,Irrigated,MTU-1121; Vijetha; MTU-1318
Assam,Tinsukia,Summer,Irrigated,Bora Rice; Improved Sabarmati; Joha Rice; IR 64
Punjab,Sangrur,Late Kharif,Limited Irrigation,Mahanandi; Swarna-Sub1; Lalat
Odisha,Sambalpur,Kharif,Limited Irrigation,Indira; Ciherang-Sub1
Chhattisgarh,Kanker,Main Rabi,Irrigated,Khitish; CSR 30; Improved Sabarmati
Andhra Pradesh,Vizianagaram,Main Kharif,Irrigated,SR 26B; PAU 201
Punjab,Tarn Taran,Summer (Hot Weather),Irrigated,Taraori Basmati; Satabdi
Punjab,Ludhiana,Summer,Limited Irrigation,IR 64; Khitish; Jaya; Satabdi
Tamil Nadu,Tiruvarur,Kharif,Irrigated,PR 121; SR 26B; PR 130
Bihar,Rohtas,Main Rabi,Limited Irrigation,Satabdi; Pusa 1509
Bihar,Aurangabad,Rabi,Limited Irrigation,Swarna-Sub1; Ratna; IR 64; Satabdi
Karnataka,Uttar Kannada,Main Kharif,Limited Irrigation,Lalat; Konark
Jharkhand,Paschim Singhbhum,Summer (Hot Weather),Irrigated,CSR 30; Improved Sabarmati
Karnataka,Gadag,Main Kharif,Rainfed,Pooja; Birsa Vikas Dhan 110; Saket 4
Chhattisgarh,Korba,Late Kharif,Rainfed,Saket 4; Ranjit; Pooja
Punjab,Ferozepur,Late Kharif,Irrigated,Rasi; Pusa Basmati 1121; Swarna (MTU-7029)
Tamil Nadu,Thanjavur,Late Kharif,Irrigated,Pusa 44; SR 26B; PR 126
Chhattisgarh,Sukma,Main Kharif,Irrigated,Swarna (MTU-7029); PR 131; Jeeraphool
Odisha,Keonjhar,Late Kharif,Irrigated,MCM-100; SR 26B
Bihar,Gaya,Kharif,Irrigated,CR Dhan 801; Pusa 44
West Bengal,North 24 Parganas,Late Kharif,Irrigated,Pusa 44; Badshabhog; SR 26B
Punjab,Jalandhar,Summer,Limited Irrigation,Ratna; Improved Sabarmati
Jharkhand,Ranchi,Summer (Hot Weather),Limited Irrigation,Jaya; Rasi; CSR 30
Haryana,Kaithal,Main Rabi,Irrigated,GR 11; IR 64
Tamil Nadu,Tirunelveli,Kharif,Limited Irrigation,CSR 27; Lalat; Udaya; Swarna-Sub1
Andhra Pradesh,West Godavari,Summer (Hot Weather),Limited Irrigation,Ratna; IR 64; CSR 30
Uttar Pradesh,Shahjahanpur,Early Kharif,Rainfed,Pratiksha; Anjali
Andhra Pradesh,Guntur,Early Rabi,Irrigated,Pusa 1121; SR 26B
Uttar Pradesh,Jaunpur,Kharif,Irrigated,Swarna (MTU-7029); Rasi
Uttar Pradesh,Maharajganj,Early Kharif,Irrigated,PAU 201; BPT-2231; Rasi
Chhattisgarh,Raipur,Summer,Limited Irrigation,Improved Sabarmati; Ratna; Vishnu Bhog
Karnataka,Mandya,Early Rabi,Rainfed,Satabdi; CR Dhan 40; Rasi
Uttar Pradesh,Jaunpur,Kharif,Irrigated,Sumati; Pusa 44
Bihar,Paschim Champaran,Summer (Hot Weather),Irrigated,Rasi; Ratna; CSR 30
Karnataka,Mysore,Rabi,Irrigated,CSR 30; Mysore Mallige
Tamil Nadu,Kanyakumari,Kharif,Irrigated,MTU-1121; Sumati
Odisha,Bargarh,Main Kharif,Irrigated,MTU-1224; IR 64; CSR 36
Uttar Pradesh,Chandauli,Main Kharif,Rainfed,Annada; Pooja; Swarna-Sub1
Karnataka,Dakshina Kannada,Early Kharif,Rainfed,Indira Barani 1; Khandagiri; Indira
West Bengal,Hooghly,Late Kharif,Irrigated,Vijetha; CR Dhan 801
Chhattisgarh,Bastar,Main Rabi,Irrigated,Pusa 1121; Vishnu Bhog; Improved Sabarmati
Andhra Pradesh,Kadapa,Summer,Irrigated,Khitish; CSR 27; Ratna; Boro varieties
Punjab,Rupnagar,Early Kharif,Rainfed,Taraori Basmati; Vandana; Konark
Tamil Nadu,Ramanathapuram,Kharif,Limited Irrigation,CSR 27; Pratiksha; Lunishree; Ranjit
West Bengal,Hooghly,Late Kharif,Irrigated,MTU-1061; PR 121
Karnataka,Shimoga,Summer,Limited Irrigation,Satabdi; Boro varieties; Rasi; Jeerige Sanna
Karnataka,Koppal,Summer (Hot Weather),Limited Irrigation,Improved Sabarmati; Jaya
Tamil Nadu,Ramanathapuram,Early Rabi,Limited Irrigation,Improved Sabarmati; CSR 36; Satabdi
Chhattisgarh,Durg,Main Rabi,Irrigated,Rasi; Khitish; IR 64
Andhra Pradesh,Southern Zone - Regional,Summer,Irrigated,MCM-100; Hamilton; CSR 36; Lunishree
Tamil Nadu,Sivaganga,Rabi,Rainfed,Virendra; Sahbhagi Dhan
Bihar,Aurangabad,Summer (Hot Weather),Limited Irrigation,Ciherang-Sub1; Improved Sabarmati; CSR 30
Uttar Pradesh,Amethi,Early Kharif,Irrigated,BPT-2231; PR 121; PR 128
Tamil Nadu,Villupuram,Late Kharif,Rainfed,Lalat; Virendra
Uttar Pradesh,Muzaffarnagar,Early Rabi,Limited Irrigation,Satabdi; CSR 30; Jaya
Tamil Nadu,Nagapattinam,Main Rabi,Rainfed,Pusa 1509; CSR 36
Karnataka,Mysore,Early Rabi,Limited Irrigation,Mysore Mallige; Satabdi
Odisha,Sambalpur,Rabi,Limited Irrigation,Khitish; Swarna
Haryana,Jind,Kharif,Rainfed,Birsa Vikas Dhan 110; Virendra
Karnataka,Gadag,Kharif,Irrigated,Samba Mahsuri (BPT-5204); PAU 201
Andhra Pradesh,Anantapur,Early Rabi,Rainfed,MCM-100; SR 26B
Chhattisgarh,All,Kharif,Limited Irrigation,Anjali; Pooja; Mahanandi
Uttar Pradesh,Amethi,Early Kharif,Rainfed,Khandagiri; Sahbhagi Dhan
Assam,Dibrugarh,Main Rabi,Limited Irrigation,IR64-Sub1; Pusa 1121
Assam,Nagaon,Rabi,Limited Irrigation,GR 11; Khitish
Punjab,Faridkot,Late Kharif,Limited Irrigation,Punjab Basmati 7; Khandagiri; Ranjit
West Bengal,Bardhaman,Summer,Limited Irrigation,IR 64; Improved Sabarmati
Tamil Nadu,Sivaganga,Kharif,Irrigated,Vijetha; PR 126
Karnataka,Mandya,Main Rabi,Rainfed,Vandana; Jaya; CSR 30
Andhra Pradesh,Anantapur,Late Kharif,Limited Irrigation,Lunishree; Surendra; Udaya
Chhattisgarh,Jashpur,Main Kharif,Limited Irrigation,Konark; Swarna-Sub1; Vishnu Bhog
Tamil Nadu,Thanjavur,Late Kharif,Limited Irrigation,Mahanandi; CR Dhan 40
Uttar Pradesh,Barabanki,Early Rabi,Limited Irrigation,CSR 30; Satabdi; Pusa Basmati 1121
Jharkhand,Ranchi,Main Rabi,Irrigated,CSR 30; IR 64; Improved Sabarmati
Uttar Pradesh,Sant Ravidas Nagar,Early Rabi,Irrigated,IR 64; GR 11; Pusa 1121
Andhra Pradesh,Guntur,Main Rabi,Limited Irrigation,MTU-1061; Swarna
Bihar,Begusarai,Late Kharif,Rainfed,Ranjit; Anjali; Nagina 22
Punjab,Muktsar,Main Rabi,Irrigated,GR 11; Punjab Basmati 7
West Bengal,Uttar Dinajpur,Late Kharif,Rainfed,SR 26B; Badshabhog; CSR 36
Assam,Goalpara,Summer (Hot Weather),Limited Irrigation,CR Dhan 801; CSR 30
Tamil Nadu,Cuddalore,Summer (Hot Weather),Irrigated,Khitish; Boro varieties
Tamil Nadu,Coimbatore,Summer (Hot Weather),Irrigated,MTU-1061; Satabdi; Khitish
Uttar Pradesh,Sitapur,Kharif,Irrigated,Mahsuri; PR 130
Andhra Pradesh,Prakasam,Main Kharif,Rainfed,MCM-100; Pratiksha; Virendra
Assam,Nagaon,Rabi,Irrigated,Khitish; Ciherang-Sub1; Swarna
Bihar,Gopalganj,Kharif,Limited Irrigation,CR Dhan 801; Ciherang-Sub1; Swarna-Sub1
Punjab,Ferozepur,Main Kharif,Irrigated,Samba Mahsuri (BPT-5204); PR 121
Punjab,Pathankot,Main Rabi,Irrigated,CSR 30; IR 64
Assam,Cachar,Early Kharif,Rainfed,Udaya; Khandagiri; Birsa Vikas Dhan 109
Assam,All,Kharif,Irrigated,Vijetha; Ciherang-Sub1; Swarna (MTU-7029)
West Bengal,All,Summer,Irrigated,Hamilton; CSR 43; CR Dhan 801
Assam,Darrang,Kharif,Irrigated,Kola Joha; BPT-2231
Punjab,Muktsar,Kharif,Irrigated,PR 121; RNR 15048
West Bengal,South 24 Parganas,Kharif,Rainfed,CSR 36; Saket 4; Swarna-Sub1; Sahbhagi Dhan
Bihar,Samastipur,Late Kharif,Irrigated,Swarna (MTU-7029); Samba Mahsuri (BPT-5204); MTU-1318
Chhattisgarh,Mahasamund,Kharif,Irrigated,JGL 384; PR 128; MTU-1121; MTU-1224
Punjab,Pathankot,Summer,Limited Irrigation,Jaya; Boro varieties
West Bengal,Paschim Medinipur,Early Kharif,Irrigated,Swarna (MTU-7029); CSR 27; HKR 47
Haryana,Ambala,Kharif,Limited Irrigation,Annada; Anjali; Indira
Karnataka,Mandya,Early Kharif,Irrigated,PR 131; MTU-1121
Odisha,Keonjhar,Main Kharif,Rainfed,MCM-100; Hamilton; Gayatri
Odisha,Ganjam,Early Kharif,Limited Irrigation,Gayatri; Udaya; IR64-Sub1
Chhattisgarh,Korba,Late Kharif,Irrigated,Badshah Bhog; Rasi
Chhattisgarh,Raipur,Kharif,Limited Irrigation,Pratiksha; Gayatri
Haryana,Karnal,Rabi,Irrigated,Improved Sabarmati; MTU-1010
Bihar,Paschim Champaran,Main Rabi,Limited Irrigation,Swarna; Pusa 1121
Karnataka,Raichur,Late Kharif,Rainfed,Mysore Mallige; Annada; Virendra
Odisha,Keonjhar,Summer,Irrigated,Samba Mahsuri-Sub1; CSR 27; SR 26B
Odisha,Bolangir,Kharif,Limited Irrigation,Sahbhagi Dhan; Gayatri
Karnataka,Kodagu,Main Kharif,Limited Irrigation,Konark; Pratiksha; Anjali
Odisha,Eastern Zone - Regional,Kharif,Rainfed,Anjali; Birsa Vikas Dhan 109; Ranjit; Birsa Vikas Dhan 110
Assam,Sibsagar,Late Kharif,Limited Irrigation,Khandagiri; Konark
Chhattisgarh,Surguja,Rabi,Limited Irrigation,Jeeraphool; Pusa 1509
Chhattisgarh,Korba,Summer,Limited Irrigation,IR 64; Badshah Bhog
Andhra Pradesh,West Godavari,Main Rabi,Rainfed,Khitish; CSR 27
Assam,Cachar,Main Kharif,Limited Irrigation,Joha Rice; CR Dhan 801
Odisha,Mayurbhanja,Main Rabi,Limited Irrigation,Ciherang-Sub1; MTU-1061
Odisha,Rayagada,Summer,Irrigated,CSR 43; Khitish
Tamil Nadu,Kanyakumari,Summer,Irrigated,Ratna; CSR 30
West Bengal,Malda,Main Rabi,Rainfed,Khitish; Pusa 1121
Bihar,Patna,Main Kharif,Rainfed,Pratiksha; Indira; Lalat
Jharkhand,Lohardaga,Main Rabi,Irrigated,Pusa 1509; Rasi; Pusa 1121
Assam,Goalpara,Rabi,Irrigated,Pusa 1121; CR Dhan 801
Haryana,Jind,Kharif,Irrigated,RNR 15048; Samba Mahsuri (BPT-5204); MTU-1262
Assam,Dibrugarh,Kharif,Irrigated,Rasi; Sumati
Bihar,Samastipur,Main Kharif,Limited Irrigation,Konark; Swarna-Sub1; Sahbhagi Dhan
Andhra Pradesh,West Godavari,Early Kharif,Limited Irrigation,Naveen; Hamilton; MTU-1061
Assam,Darrang,Summer,Limited Irrigation,CSR 30; Rasi; Swarna-Sub1
Assam,Kokrajhar,Main Rabi,Irrigated,Ratna; Bora Rice; Ciherang-Sub1
Karnataka,Mandya,Kharif,Irrigated,PR 121; MTU-1121; Mahsuri
Uttar Pradesh,Amethi,Kharif,Limited Irrigation,Ranjit; Mahanandi
West Bengal,Darjeeling,Early Rabi,Rainfed,CR Dhan 40; MTU-1061; Khitish
Odisha,Jagatsinghpur,Rabi,Irrigated,Hamilton; Rasi; CR Dhan 801
Uttar Pradesh,Pilibhit,Rabi,Irrigated,Jaya; Adamchini
Bihar,Madhubani,Late Kharif,Limited Irrigation,Annada; Udaya
Jharkhand,Dhanbad,Kharif,Limited Irrigation,Konark; Gayatri; CR Dhan 40; Ranjit
Punjab,Bathinda,Early Rabi,Limited Irrigation,Satabdi; IR 64
Tamil Nadu,Nagapattinam,Kharif,Limited Irrigation,Surendra; Udaya
Tamil Nadu,Thanjavur,Summer,Limited Irrigation,Rasi; MTU-1061; MCM-100
